Part Number|Description|Dep|PLN|Plant Mat Stat|Line|Unit/Bag|Unit/Box|UOM|Box Wgt Std|Stor.Conditions
M510109250|Resin CRASTIN FR684NH1|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510092630|Resin ZYTEL 70G35EF+ZYTEL 70G35EF US|F|Z2|40||1000.000|1000.000|KG|453592.000|
71720953|TPA|E|Z2|40|F0605013|1000.000|3000.000|EA|4200.000|01
M510003900|Resin ZYTEL 408HS|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510071300|CCP 3015-200X NC|F|Z2|40||1000.000|1000.000|KG|1000.000|
S854300331054|PF PBT CRASTIN SK602 BLUE|E|Z2|40|ME200101|1000.000|103.000|KG|103000.000|
M510055500|PBT DURANEX 515AC|F|Z2|40||1000.000|1000.000|KG|1000000.000|
M510003930|Resin ZYTEL 408HS|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510006151|Resin CELANEX 401AC|F|Z2|40||4000.000|1000.000|KG|1000.000|
Y00000351|PB PBT TORAYCON 1401X06 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
M510047900|Resin ZYTEL MT409AHS|F|Z2|40||1000.000|1000.000|KG|1000.000|
S851101101058|PF CCP 3015-200R GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
S854300331070|PF PBT CRASTIN SK602 GRAY|E|Z2|40|ME200101|1000.000|104.000|KG|104104.000|
M510006100|PBT CELANEX 401AC+CELANEX401AC+CELANEXã|F|Z2|40||18750.000|750.000|KG|750000.000|
S854300331059|PF PBT CRAST SK602 NC010 GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
S854301255400|NY ZYTEL 70G35EF NC010 GREEN|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
M510015040|Resin ZYTEL HLTN-HPA-LG2D|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510015830|Resin NORYL GTX9400W|F|Z2|40||4000.000|25.000|KG|11339.800|
S854340135400|NY 66N ZYTEL 70G35HSL GREEN|E|Z2|40|ME200101|1000.000|104.000|KG|104104.000|
S7185106630E|1P 14 5MM UNSEALED FEMALE CONNECTOR KEYW|E|Z2|35|G0311012|1000.000|400.000|EA|4.400|01
S854300331062|PF PBT CRAST SK602 NC010 BROW|E|Z2|40|ME200101|1000.000|103.000|KG|103103.000|
S854300441058|PF PBT CRAS CE2560 NC010 GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
M510055530|PBT DURANEX 515AC|F|Z2|40||1000.000|1000.000|KG|1000000.000|
M510013100|PP WPP231H|F|Z2|40||1000.000|680.000|KG|680000.000|
M510129130|Resin TORAYCON 1101G-15U|F|Z2|40||1000.000|816.470|KG|816.470|
S854300330034|PF PBT CAR SK602 NC010 GRAY|E|Z2|40|ME200101|1000.000|100.000|KG|100000.000|
M510129100|Resin TORAYCON 1101G-15U|F|Z2|40||1000.000|816.470|KG|816.470|
M510017200|Resin CRASTIN CE2560|F|Z2|40||1000.000|1000.000|KG|1000.000|
S854300331056|PF PBT CRAS SK602 NC010 GREEN|E|Z2|40|ME200101|1000.000|102.000|KG|104040.000|
S851101071056|PF CCP 3015-200X GREEN|E|Z2|40|ME200101|1000.000|102.000|KG|102000.000|
S851101071059|PF CCP 3015-200X GRAY|E|Z2|40|ME200101|1000.000|102.000|KG|102102.000|
M510018200|PBT HR 5330 HF NA|F|Z2|40||1000.000|1000.000|KG|1000000.000|
M510065230|Resin D201G15-DE3028 TW+SHINITE D201G15|F|Z2|40||1000.000|25.000|KG|25.000|
S851101101061|PF CCP 3015-200R GRAY DARK|E|Z2|40|ME200101|1000.000|103.000|KG|103103.000|
S854300441064|PF PBT CRASTIN CE2560 RED|E|Z2|40|ME200101|1000.000|103.000|KG|103103.000|
S854340131065|NY 66N ZYTEL 70G35HSL BLACK|E|Z2|40|ME200101|1000.000|104.000|KG|104104.000|
Y00000341|PP PP (UNFILLED) J109UB NATUR|F|Z2|40||1000.000|680.000|KG|680.000|
M510018800|Resin CRASTIN SK602|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510092600|Resin ZYTEL 70G35EF+ZYTEL 70G35EF US|F|Z2|40||1000.000|1000.000|KG|453592.000|
M510015150|Resin ZYTEL HLTN-HPA-LG2D|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510017230|PBT CRASTIN CE2560|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510022230|Resin ZYTEL 70G35HSLRA4+Zytel 70G35HSLRA|F|Z2|40||1000.000|1000.000|KG|1000.000|
M510110030|Resin ZYTEL FR95G25V0NH|F|Z2|40||1000.000|1000.000|KG|1000.000|
Y00000157|SG-KGS6/HV (PA66-GF30 FR(40)) BLACK|F|Z2|40||2400.000|800.000|KG|16000.000|
M510057100|PBT DURANEX PBT-HF-HS1 (CS7000NY)+PBT-HF|F|Z2|40||1000.000|1000.000|KG|1000000.000|
7216644902|4.8 HBD TERMINAL ESC 34P PRODUCED IN NOR|F|Z2|05||1000.000|0.000|EA|0.000|
7114418102|PCB Header Terminal|F|Z2|05||1000.000|0.000|EA|0.000|
7114418002|PCB Header Terminal|F|Z2|05||1000.000|0.000|EA|0.000|
7114417602|1.5 SYSTEM CONNECTOR PCB TERMINAL|F|Z2|06||1000.000|0.000|EA|0.000|
M510009700|Resin ZS609|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000346|AKULON SG-KGS6 ORANGE|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000158|Resin AKULON SG-KGS6/HV|F|Z2|05||1000.000|0.000|KG|0.000|
M510018700|PBT SK-NA (NC010)|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000336|PF PBT TORAYCON 1101G15U NATUR|F|Z2|05||1000.000|0.000|KG|0.000|
Y00000233|PB PC+PBT VALOX 508 6187 RED|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000232|NY PPE+PS+PA NORYL GTX918W 719|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000231|NY PPE+PS+PA NORYL GTX902 1710|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000229|NY PPE+PS+PA NORYL GTX9400W171|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000227|NY PPE+NORYL PX0871 WH2A017 NA|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000226|NY PPE+PS NORYL PX1127 701 BLA|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000223|NY PPE+PS NORYL PX0844 701BLAC|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000220|PB PBT VALOX 357U BK1066 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000218|PB PBT VALOX DR51 1001 NATURAL|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000217|PF PBT VALOX 430 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
Y00000216|PB PBT VAL VAC 3001 BK1066 BLACK|F|Z2|60||1000.000|1.000|KG|1.000|
M510008930|Resin DURANEX PBT-HS1(C7000NY)+PBT-HS1|F|Z2|60||1000.000|1.000|KG|1.000|
7216394702|Terminal 187 Female 4.8|F|Z2|60||1000.000|1.000|EA|1.500|
7195183302|1.50 PCB TERMINAL LEAD COMPLIANT|F|Z2|60||1000.000|1.000|EA|1.000|
71407393|BODY ECU|F|Z2|60||1000.000|1.000|EA|1.000|
71372380|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|1.180|
71372340|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|0.780|
71372330|Connector Seal / Packing Black|F|Z2|60||1000.000|1.000|EA|1.730|
Y00000403|ZYTEL 70G35HSLRA4 NC010 NYLON RESIN|F|Z2|40||1000.000|1000.000|KG|1000.000|
Y00000344|PB POCAN B3235 BLACK|F|Z2|35||1.000|1.000|KG|1.000|
Y00000219|PB PBT VALOX VAC3001 BROWN|F|Z2|60||1000.000|1.000|KG|1.000|
M510016100|Amodel AT-1116HS NA|F|Z2|35||1.000|1.000|KG|1000.000|
7298709230|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298709130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|9000.000|
7298635430|Connector 8p 047 (1.2) Black|E|Z1|40|E3C12010|1430.000|1430.000|EA|6292.000|
7298631730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298631630|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|150.000|
7298631530|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298631430|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298631030|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298630930|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298630830|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298630730|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
7298160130|Connector 52p APEX+Generation Y+YESC III|E|Z1|40|E3C12014|150.000|150.000|EA|8901.000|
