Cntrl Pl. Plant|Maquina|Celda|FECHA|Hora inicio|Part#|Dado|Cavidades|T ciclico|Resina
1815|G0104018|G01|20260204|130014|S0071584195|Y1|0000000008|15.206|M510014900
1815|G0104025|G01|20260204|130014|S7123284030|UB2|0000000008|20.995|M51MB01430
1815|G0105017|G01|20260204|130014|S0071222865|UTA1|0000000004|22.406|
1815|G0201014|G02|20260204|130014|S7157642180|UA2|0000000002|17.402|M51MB01480
1815|F0101021|F01|20260204|130014|S7173453440|M1|0000000008|12.989|M510017200
1815|G0205012|G02|20260204|130014|S7172108150E|Y1|0000000008|12.499|M510022100
1815|G0201016|G02|20260204|130014|S7157652080|UB1|0000000004|15.307|M510024700
1815|F0101021|F01|20260204|130014|S7157602390|UA2|0000000004|17.006|M510002000
1815|G0422006|G04|20260204|130014|S7047534430|YA1|0000000032|24.998|M510013100
1815|F0605016|F06|20260204|130014|S7173039650E|Y2|0000000016|15.494|M510017200
1815|F0101024|F01|20260204|130014|S7172155550P|YA1|0000000004|9.893|M510017200
1815|G0205011|G02|20260204|130014|S7172108150P|Y1|0000000008|12.499|M510022100
1815|G0201007|G02|20260204|130014|S7147873540|EF1|0000000002|18.799|M510013100
1815|G0201012|G02|20260204|130014|S7157654030|UB1|0000000002|15.703|M510044100
1815|G0104023|G01|20260204|130014|S7123412330|.UA2|0000000004|16.603|M51MB01430
1815|F0101021|F01|20260204|130014|S7157781480|UB1|0000000004|16.704|M510006180
1815|G0201502|G02|20260204|130014|S7185048730|YA1|0000000004|17.006|M510092630
1815|F0204006|F02|20260204|130014|S7123421030|UB1|0000000002|19.598|M510006130
1815|G0104025|G01|20260204|130014|S7122188440|US1|0000000002|31.298|M510044100
1815|F0101508|F01|20260204|130014|S7157781380|UA1|0000000008|16.214|M510006180
1815|G0404024|G04|20260204|130014|S0071576822|E1|0000000008|12.614|M510024700
1815|F0101502|F01|20260204|130014|S0071734535|YA1|0000000008|14.803|M510017200
1815|F0311034|F03|20260204|130014|S7173542030|YA1|0000000004|20.995|M510050030
1815|F0605004|F06|20260204|130014|S071585971E|M1|0000000016|16.013|M510006100
1815|F0305023|F03|20260204|130014|S0071237820|M1|0000000016|18.086|M510006100
1815|F0605014|F06|20260204|130014|71720487|M1|0000000008|13.306|M510006100
1815|G0321010|G03|20260204|130014|7182419030|M1|0000000004|38.707|M510018830
1815|F0604050|F06|20260204|130014|71586451|Y2|0000000004|19.325|M510006100
1815|F0311051|F03|20260204|130014|7189399740|Y1|0000000002|29.002|M510129100
1815|F0311034|F03|20260204|130014|S7173553430|YA1|0000000004|22.003|M510050030
1815|F0604052|F06|20260204|130014|S7123422030|UA1|0000000002|25.200|M510006130
1815|G0105016|G01|20260204|130014|S0071233010|UY1|0000000004|16.502|M510002000
1815|G0311005|G03|20260204|130014|S0070479606|TB1|0000000016|19.238|M510003900
1815|F0101027|F01|20260204|130014|S7183241540|Y1|0000000004|17.194|M510057140
1815|F0101027|F01|20260204|130014|S7183241330|Y1|0000000004|18.994|M510057130
1815|F0311034|F03|20260204|130014|S7172179930|YA1|0000000004|27.994|M510050030
1815|G0105021|G01|20260204|130014|S7152565930|Y1|0000000002|28.498|M510047930
1815|F0101501|F01|20260204|130014|S7123913550|UB1|0000000004|22.003|M510006151
1815|F0605001|F06|20260204|130014|S7123142430|UB2|0000000002|16.099|M510006130
1815|F0101502|F01|20260204|130014|S0071236040|UB3|0000000002|27.302|M510002000
1815|G0105017|G01|20260204|130014|S0071235125|UB3|0000000008|23.990|M510097000
1815|G0201012|G02|20260204|130014|S0071231520|UB1|0000000004|16.114|M510024700
1815|F0605004|F06|20260204|130014|S0071231424|UB2|0000000002|16.099|M510006100
1815|F0411003|F04|20260204|130014|S0071228325|UB1|0000000001|28.001|M510006100
1815|G0211001|G02|20260204|130014|S0071228020|UB1|0000000008|33.408|
1815|F0605006|F06|20260204|130014|S7122142440E|UB2|0000000002|14.803|M510006110
1815|G0105022|G01|20260204|130014|S071850753E|YA1|0000000002|20.002|
1815|G0105023|G01|20260204|130014|S7189832230P|YA1|0000000002|17.302|M510017230
1815|G0322001|G03|20260204|130014|S0071742054|YA1|0000000002|37.001|M510018800
1815|G0105014|G01|20260204|130014|S7183902230P|Y1|0000000004|15.696|M510018830
1815|F0204008|F02|20260204|130014|S7174022330|Y1|0000000002|28.001|M510017230
1815|G0422005|G04|20260204|130014|S0071856140|YA1|0000000004|45.000|M510013100
1815|F0411030|F04|20260204|130014|S0071735418|YA1|0000000008|25.690|M510065200
1815|G0404024|G04|20260204|130014|S0070471664|Y1|0000000008|17.510|M510047900
1815|G0205005|G02|20260204|130014|S0071859557|YA2|0000000004|24.998|M510092600
1815|G0422005|G04|20260204|130014|S0071856173|YA1|0000000001|47.999|M510013100
1815|G0422005|G04|20260204|130014|S7185956230|YA1|0000000002|40.003|M510110030
1815|G0311012|G03|20260204|130014|S7185106630|Y1|0000000004|29.995|M510022230
1815|G0311012|G03|20260204|130014|S7185106630E|Y1|0000000004|29.995|M510022230
1815|F0101029|F01|20260204|130014|71574036|UA1|0000000002|16.999|M510006100
1815|G0404017|G04|20260204|130014|71574191|E1|0000000004|23.803|M510014900
1815|F0101022|F01|20260204|130014|71576315|E1|0000000001|15.502|M510006100
