SoldToParty|ShipToParty|PartNo|ETD|ETA|Qty|Shipping Qty|Remain|CustPO|Order FLG|t
YZK1815|YZP1072|000000000070471664|20260218|20260218|2400.0|0|2400.0|6500065227|O|A
YZK1815|YZP1254|000000000070471664|20260218|20260218|4800.0|0|4800.0|6500068051|O|A
YZK1815|YZP1760|000000000070471664|20260218|20260218|3600.0|0|3600.0|6500069001|O|A
YZK1815|YZP1072|000000000070471664|20260225|20260225|3600.0|0|3600.0|6500065227|F|A
YZK1815|YZP1072|000000000070471664|20260225|20260225|33600.0|0|33600.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260225|20260225|3600.0|0|3600.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260225|20260225|8400.0|0|8400.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260304|20260304|26400.0|0|26400.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260304|20260304|3600.0|0|3600.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260304|20260304|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260311|20260311|37200.0|0|37200.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260311|20260311|3600.0|0|3600.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260311|20260311|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260318|20260318|39600.0|0|39600.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260318|20260318|2400.0|0|2400.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260318|20260318|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260325|20260325|31200.0|0|31200.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260325|20260325|3600.0|0|3600.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260325|20260325|8400.0|0|8400.0|6500069001|F|A
YZK1815|YZP1254|000000000070471664|20260331|20260331|6000.0|0|6000.0|6500068051|F|A
YZK1815|YZP1072|000000000070471664|20260401|20260401|34800.0|0|34800.0|6500065227|F|A
YZK1815|YZP1760|000000000070471664|20260404|20260404|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP5173|000000000070471664|20260407|20260407|1200.0|0|1200.0|6500068838|F|A
YZK1815|YZP1072|000000000070471664|20260408|20260408|31200.0|0|31200.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260408|20260408|2400.0|0|2400.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260408|20260408|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260415|20260415|39600.0|0|39600.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260415|20260415|2400.0|0|2400.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260415|20260415|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260422|20260422|34800.0|0|34800.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260422|20260422|4800.0|0|4800.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260422|20260422|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1254|000000000070471664|20260428|20260428|3600.0|0|3600.0|6500068051|F|A
YZK1815|YZP1072|000000000070471664|20260429|20260429|37200.0|0|37200.0|6500065227|F|A
YZK1815|YZP1760|000000000070471664|20260430|20260430|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260506|20260506|39600.0|0|39600.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260506|20260506|4800.0|0|4800.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260506|20260506|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260513|20260513|33600.0|0|33600.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260513|20260513|4800.0|0|4800.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260513|20260513|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260520|20260520|26400.0|0|26400.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260520|20260520|4800.0|0|4800.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260520|20260520|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260527|20260527|33600.0|0|33600.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260527|20260527|3600.0|0|3600.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260527|20260527|9600.0|0|9600.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260603|20260603|27600.0|0|27600.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260603|20260603|4800.0|0|4800.0|6500068051|F|A
YZK1815|YZP1760|000000000070471664|20260603|20260603|10800.0|0|10800.0|6500069001|F|A
YZK1815|YZP1072|000000000070471664|20260610|20260610|24000.0|0|24000.0|6500065227|F|A
YZK1815|YZP1254|000000000070471664|20260610|20260610|3600.0|0|3600.0|6500068051|F|A
