Fecha|Part#|Turno|Piezas|Estandar|Cost|Linea|Celda|Planta|Dado|Time
20251111|7174272130|2|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|211501
20251028|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|094501
20251206|7152550130|1|180.000|180.000|28.69|E1C11001|E1C|1815|C11-02|134501
20251107|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|071501
20251218|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143234
20251126|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143129
20251203|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|143230
20251130|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|143229
20251030|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|143235
20251104|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|143124
20251018|7152565930|1|180.000|180.000|28.63|E1C11001|E1C|1815|C11-02|143146
20251011|7152550130|1|180.000|180.000|28.69|E1C11001|E1C|1815|C11-02|143100
20251217|70471664|1|1200.000|1200.000|26.42|E1C11001|E1C|1815|C11-02|143100
20251030|71742054|1|16.000|16.000|12.43|E1C11001|E1C|1815|C11-02|143220
20251122|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143220
20251122|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143114
20251105|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|143215
20251101|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|143133
20251203|71741049|1|160.000|160.000|35.51|E1C11001|E1C|1815|C11-02|143140
20251023|7173542030|1|300.000|300.000|12.73|E1C11001|E1C|1815|C11-02|143132
20251126|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143150
20251201|7158617440|1|4000.000|4000.000|87.25|E1C11001|E1C|1815|C11-02|143143
20251216|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143143
20251013|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143118
20251013|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143241
20251015|71741436|1|240.000|240.000|20.88|E1C11001|E1C|1815|C11-02|143241
20251113|71479095|1|5000.000|5000.000|106.89|E1C11001|E1C|1815|C11-02|143241
20251006|7147880330|1|2000.000|2000.000|74.87|E1C11001|E1C|1815|C11-02|143156
20251101|7173553430|1|250.000|250.000|11.15|E1C11001|E1C|1815|C11-02|143240
20251126|7173453240|1|4000.000|4000.000|34.34|E1C11001|E1C|1815|C11-02|143110
20251010|7174022330|1|250.000|250.000|29.57|E1C11001|E1C|1815|C11-02|143113
20251203|7172179930|1|150.000|150.000|10.82|E1C11001|E1C|1815|C11-02|143245
20251009|71734533|1|4000.000|4000.000|34.99|E1C11001|E1C|1815|C11-02|143138
20251031|71734535|1|4000.000|4000.000|49.68|E1C11001|E1C|1815|C11-02|143200
20251030|7174272130|1|150.000|150.000|24.97|E1C11001|E1C|1815|C11-02|143044
