Part #|Die|Total Shots|StdShot OH|Machine Type (TON)|OH|Dep|Pln|Line|Act Die Location
000000007182915240|Y2|4.1711000000000000E+04|6.0000000000000000E+04|110T|1.8289000000000000E+04|E|EEA|F0311034|1815-YCC01-RAC-MOLD
000000007183374040|UB1|-3.3865000000000000E+04|1.6000000000000000E+05|110T|1.9386500000000000E+05|E|EEA|F0411041|
000000007183419030|Y1|1.9583000000000000E+04|6.0000000000000000E+04|80T|4.0417000000000000E+04|E|EEA|F0511021|1815-YCC01-RAC-MOLD
000000007183419030|Y1|1.9583000000000000E+04|6.0000000000000000E+04|80T|4.0417000000000000E+04|E|EEA|F0511019|1815-YCC01-RAC-MOLD
000000007183419030|Y1|1.9583000000000000E+04|6.0000000000000000E+04|80T|4.0417000000000000E+04|E|EEA|F0511020|1815-YCC01-RAC-MOLD
000000007183419030|Y1|1.9583000000000000E+04|6.0000000000000000E+04|80T|4.0417000000000000E+04|E|EEA|F0511015|1815-YCC01-RAC-MOLD
000000000071821248|UB2|8.5599000000000000E+04|1.0000000000000000E+05|50T|1.4401000000000000E+04|E|EEA|F0605001|1815-YCC01-RAC-MOLD
000000000071821248|UB2|8.5599000000000000E+04|1.0000000000000000E+05|50T|1.4401000000000000E+04|E|EEA|F0605002|1815-YCC01-RAC-MOLD
000000000071821248|UB2|8.5599000000000000E+04|1.0000000000000000E+05|50T|1.4401000000000000E+04|E|EEA|F0605004|1815-YCC01-RAC-MOLD
000000000071821248|Y1|2.9499000000000000E+04|1.0000000000000000E+05|40T|7.0501000000000000E+04|E|EEA|F0605008|1815-YCC01-RAC-MOLD
000000000071821248|Y1|2.9499000000000000E+04|1.0000000000000000E+05|40T|7.0501000000000000E+04|E|EEA|F0605009|1815-YCC01-RAC-MOLD
000000000071821248|Y1|2.9499000000000000E+04|1.0000000000000000E+05|40T|7.0501000000000000E+04|E|EEA|F0605019|1815-YCC01-RAC-MOLD
000000000071824578|UB1|-5.0041000000000000E+04|1.6000000000000000E+05|110T|2.1004100000000000E+05|E|EEA|G0311021|1815-YCC01-RAC-MOLD
000000000071824578|UB1|-5.0041000000000000E+04|1.6000000000000000E+05|110T|2.1004100000000000E+05|E|EEA|G0411015|1815-YCC01-RAC-MOLD
000000007182124870|UB2|8.5599000000000000E+04|1.0000000000000000E+05|50T|1.4401000000000000E+04|E|EEA|F0512004|1815-YCC01-RAC-MOLD
000000007182124870|Y1|2.9499000000000000E+04|1.0000000000000000E+05|40T|7.0501000000000000E+04|E|EEA|F0512004|1815-YCC01-RAC-MOLD
000000007182196640|MA1|1.1460000000000000E+04|6.0000000000000000E+04|110T|4.8540000000000000E+04|E|EEA|F0411041|1815-YCC01-RAC-MOLD
000000007182196640|Y1|3.3000000000000000E+03|9.0000000000000000E+04|110T|8.6700000000000000E+04|E|EEA|F0512004|1815-YCC01-RAC-MOLD
000000007182243230|YK1|2.2800000000000000E+04|1.0000000000000000E+05|50T|7.7200000000000000E+04|E|EEA|F0512004|1815-YCC01-RAC-MOLD
000000007182321430|UB1|1.9500000000000000E+04|1.0000000000000000E+05|40T|8.0500000000000000E+04|E|EEA|F0204019|1815-YCC01-RAC-MOLD
000000007182321430|UB1|1.9500000000000000E+04|1.0000000000000000E+05|40T|8.0500000000000000E+04|E|EEA|F0204003|1815-YCC01-RAC-MOLD
000000007182344040|Y1|-5.7901000000000000E+04|1.1000000000000000E+05|80T|1.6790100000000000E+05|E|EEA|F0411030|1815-YCC01-RAC-MOLD
000000007182344040|Y1|-5.7901000000000000E+04|1.1000000000000000E+05|80T|1.6790100000000000E+05|E|EEA|F0411031|1815-YCC01-RAC-MOLD
000000007182344040|Y1|-5.7901000000000000E+04|1.1000000000000000E+05|80T|1.6790100000000000E+05|E|EEA|F0411032|1815-YCC01-RAC-MOLD
000000007182344040|Y1|-5.7901000000000000E+04|1.1000000000000000E+05|80T|1.6790100000000000E+05|E|EEA|F0411035|1815-YCC01-RAC-MOLD
000000007182344040|Y1|-5.7901000000000000E+04|1.1000000000000000E+05|80T|1.6790100000000000E+05|E|EEA|F0411036|1815-YCC01-RAC-MOLD
000000007182344040|Y1|-5.7901000000000000E+04|1.1000000000000000E+05|80T|1.6790100000000000E+05|E|EEA|F0411037|1815-YCC01-RAC-MOLD
000000007182344040|Y1|-5.7901000000000000E+04|1.1000000000000000E+05|80T|1.6790100000000000E+05|E|EEA|F0411038|1815-YCC01-RAC-MOLD
000000007182344140|M1|6.8199000000000000E+04|1.0000000000000000E+05|110T|3.1801000000000000E+04|E|EEA|F0508027|1815-YCC01-RAC-MOLD
000000007182344140|M1|6.8199000000000000E+04|1.0000000000000000E+05|110T|3.1801000000000000E+04|E|EEA|F0508028|1815-YCC01-RAC-MOLD
000000007182344140|M1|6.8199000000000000E+04|1.0000000000000000E+05|110T|3.1801000000000000E+04|E|EEA|F0508029|1815-YCC01-RAC-MOLD
000000007182344140|M1|6.8199000000000000E+04|1.0000000000000000E+05|110T|3.1801000000000000E+04|E|EEA|F0508030|1815-YCC01-RAC-MOLD
000000007182344140|M1|6.8199000000000000E+04|1.0000000000000000E+05|110T|3.1801000000000000E+04|E|EEA|F0508035|1815-YCC01-RAC-MOLD
000000007182374040|Y1|5.3699000000000000E+04|1.0000000000000000E+05|80T|4.6301000000000000E+04|E|EEA|F0508026|1815-YCC01-RAC-MOLD
000000007182374040|Y1|5.3699000000000000E+04|1.0000000000000000E+05|80T|4.6301000000000000E+04|E|EEA|F0508027|1815-YCC01-RAC-MOLD
000000007182374040|Y2|2.2900000000000000E+04|1.8000000000000000E+05|80T|1.5710000000000000E+05|E|EEA|F0512004|1815-YCC01-C05-1210
000000007182374040|Y2|2.2900000000000000E+04|1.8000000000000000E+05|80T|1.5710000000000000E+05|E|EEA|F0508026|1815-YCC01-C05-1210
000000007182374040|Y2|2.2900000000000000E+04|1.8000000000000000E+05|80T|1.5710000000000000E+05|E|EEA|F0508027|1815-YCC01-C05-1210
000000007182388530|Y1|7.2000000000000000E+03|1.0000000000000000E+05|40T|9.2800000000000000E+04|E|EEA|F0204040|1815-YCC01-RAC-MOLD
000000007182388530|Y1|7.2000000000000000E+03|1.0000000000000000E+05|40T|9.2800000000000000E+04|E|EEA|F0204003|1815-YCC01-RAC-MOLD
000000007182457830|UB1|-5.0041000000000000E+04|1.6000000000000000E+05|110T|2.1004100000000000E+05|E|EEA|G0311017|1815-YCC01-RAC-MOLD
000000007182457830|UB1|-5.0041000000000000E+04|1.6000000000000000E+05|110T|2.1004100000000000E+05|E|EEA|G0311021|1815-YCC01-RAC-MOLD
000000007182457840|UB1|-5.0041000000000000E+04|1.6000000000000000E+05|110T|2.1004100000000000E+05|E|EEA|G0311017|1815-YCC01-RAC-MOLD
