Part#|Plant|Warehouse|Inv. Lov|Box Unit|Dept|Stock Date
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000007283592710|1815|181|PACK.BIN|54.000|E|20251005
000000000072773005|1815|181|PACK.BIN|192.000|E|20251105
000000000072773005|1815|181|PACK.BIN|192.000|E|20251105
000000000072773005|1815|181|PACK.BIN|192.000|E|20251106
000000007288302910|1815|181|PACK.BIN|40.000|E|20251008
000000000072834578|1815|181|PACK.BIN|80.000|E|20251031
000000007298432930|1815|181|PACK.BIN|450.000|E|20251016
000000007223193530|1815|181|PACK.BIN|600.000|E|20251112
000000000071479095|1815|181|PACK.BIN|5000.000|E|20251122
000000007297010730|1815|181|PACK.BIN|150.000|E|20251204
000000007282344040|1815|181|TRANSFER|100.000|E|20251014
000000007282344040|1815|181|TRANSFER|100.000|E|20251014
000000007282344040|1815|181|TRANSFER|100.000|E|20251014
000000007282344040|1815|181|TRANSFER|100.000|E|20251014
000000007282344040|1815|181|TRANSFER|100.000|E|20251014
000000007282344040|1815|181|TRANSFER|100.000|E|20251014
000000007282344040|1815|181|TRANSFER|100.000|E|20251014
000000007289729330|1815|181|TRANSFER|256.000|E|20251021
000000007287357710|1815|181|TRANSFER|77.000|E|20251030
000000007287357710|1815|181|TRANSFER|77.000|E|20251030
000000007287357710|1815|181|TRANSFER|77.000|E|20251030
000000007287357710|1815|181|TRANSFER|77.000|E|20251030
000000007287357710|1815|181|TRANSFER|77.000|E|20251030
000000007287935530|1815|181|TRANSFER|1440.000|E|20251105
000000000072773005|1815|181|TRANSFER|96.000|E|20251104
000000007288302910|1815|181|TRANSFER|480.000|E|20251114
000000007287326030|1815|181|TRANSFER|640.000|E|20251119
000000007287357710|1815|181|TRANSFER|77.000|E|20251120
000000007287357710|1815|181|TRANSFER|77.000|E|20251120
000000007287357710|1815|181|TRANSFER|77.000|E|20251120
000000007287357710|1815|181|TRANSFER|77.000|E|20251120
000000000072831556|1815|181|TRANSFER|100.000|E|20251127
000000000072834576|1815|181|TRANSFER|150.000|E|20251201
000000007298432930|1815|181|TRANSFER|50.000|E|20251221
000000007283557410|1815|181|TRANSFER|54.000|E|20251206
000000007283557410|1815|181|TRANSFER|54.000|E|20251206
000000007283557410|1815|181|TRANSFER|54.000|E|20251206
000000007286677930|1815|181|TRANSFER|300.000|E|20260108
000000007289729330|1815|181|SORT2|256.000|E|20260124
000000007289729330|1815|181|SORT2|256.000|E|20260124
000000007289729330|1815|181|SORT2|256.000|E|20260124
000000007289729330|1815|181|SORT2|256.000|E|20260124
000000007289729330|1815|181|SORT2|256.000|E|20260124
000000007289729330|1815|181|SORT2|256.000|E|20260126
000000007297101330|1815|181|SORT2|150.000|E|20260126
