Inventory|Location|Box Unit|Part No.|Date|Dept
CA1|CA216|120.000|000000007189820130|20260204|E
CA1|CA216|120.000|000000007189820130|20260204|E
CA1|CA216|120.000|000000007189820130|20260204|E
CA1|CA216|120.000|000000007189820130|20260204|E
CA1|CA216|120.000|000000007189820130|20260204|E
901|WE-ZONE|450.000|000000007298432930|20260204|E
CA1|CA216|120.000|000000007189820130|20260203|E
901|0007499272|54.000|000000007385165751|20260204|E
CA1|CA216|2000.000|S7158708050E|20260204|E
CA1|CA216|2000.000|S7158708050E|20260204|E
CA1|CA216|2000.000|S7158708050E|20260204|E
CA1|CA216|2000.000|S7158708050E|20260204|E
CA1|CA216|2000.000|S7158708050E|20260204|E
CA1|CA216|2000.000|S7158708050E|20260204|E
CA1|CA216|504.000|000000007187326030|20260204|E
CA1|CA216|504.000|000000007187326030|20260204|E
CA1|CA216|504.000|000000007187326030|20260204|E
CA1|CA216|504.000|000000007187326030|20260204|E
CA1|CA216|504.000|000000007187326030|20260204|E
CA1|CA216|504.000|000000007187326030|20260204|E
901|WE-ZONE|450.000|000000007298432930|20260204|E
901|0007478751|400.000|S7188832330P|20260204|E
901|0007478751|400.000|S7188832330P|20260204|E
901|0007478751|400.000|S7188832330P|20260204|E
901|0007478751|400.000|S7188832330P|20260204|E
901|0007476248|110.000|000000007188819830|20260204|E
901|0007476248|110.000|000000007188819830|20260204|E
901|0007476248|110.000|000000007188819830|20260204|E
901|0007476248|110.000|000000007188819830|20260204|E
901|0007476248|110.000|000000007188819830|20260204|E
CA1|CA220|560.000|000000007187204730|20260204|E
CA1|CA220|560.000|000000007187204730|20260204|E
CA1|CA220|560.000|000000007187204730|20260204|E
901|0007538899|172.000|000000007188892030|20260204|E
CA1|CA220|560.000|000000007187204730|20260204|E
CA1|CA220|560.000|000000007187204730|20260204|E
901|0007538899|172.000|000000007188892030|20260204|E
901|0007538899|172.000|000000007188892030|20260204|E
CA1|CA220|560.000|000000007187204730|20260204|E
901|0007538899|172.000|000000007188892030|20260204|E
