Part #|Plant|Material Type|Qty1|Na|Disponible||
000000000070351990|1815|YDM|0.000|0.000|0.000|F|Z2
000000000070581285|1815|YDM|0.000|0.000|0.000|F|Z2
000000000070581347|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071139063|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071141266|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071227444|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071228467|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071231324|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071236630|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071239327|1815|YDM|6000.000|0.000|6000.000|E|Z2
000000000071252710|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071252712|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071252714|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071252716|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071259246|1815|YDM|760.000|0.000|760.000|E|Z2
000000000071259247|1815|YDM|360.000|0.000|360.000|E|Z2
000000000071285082|1815|YDM|0.000|0.000|0.000|E|Z2
000000000071295504|1815|YDM|2350.000|0.000|2350.000|E|Z2
000000000071341470|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071371291|1815|YDM|154690.000|0.000|154690.000|F|Z2
000000000071371375|1815|YDM|19686.000|0.000|19686.000|F|Z2
000000000071371470|1815|YDM|121345.000|0.000|121345.000|F|Z2
000000000071371547|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071372200|1815|YDM|20102.000|0.000|20102.000|F|Z2
000000000071372330|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071372340|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071372380|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071407380|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071407381|1815|YDM|0.000|0.000|0.000|F|Z2
000000000071407393|1815|YDM|0.000|0.000|0.000|F|Z2
