Plant|Maquina|Celda|Fecha|Hora inicio|Part #|Dado|Cavidades|T ciclico|Resina
1815|G0104025|G01|20260204|015707|S0071479093|E1|4.0000000000000000E+00|26.395|M510003900
1815|F0605012|F06|20260204|014119|S7173453240|Y3|3.2000000000000000E+01|16.934|M510017200
1815|F0101506|F01|20260204|031520|S7173453440|YA1|8.0000000000000000E+00|12.989|M510017200
1815|G0105014|G01|20260204|095841|S7157604070|UB2|8.0000000000000000E+00|28.714|M510002000
1815|F0605019|F06|20260204|110957|S7173039650E|Y3|1.6000000000000000E+01|14.976|M510017200
1815|G0201016|G02|20260204|005706|S7157642080|UA1|2.0000000000000000E+00|15.998|M51MB01480
1815|G0205001|G02|20260204|073215|S7047722430|Y2|8.0000000000000000E+00|16.387|M510013100
1815|F0305022|F03|20260204|001524|S7158617440|Y1|4.0000000000000000E+00|11.102|M510017200
1815|G0404016|G04|20260204|072944|S7123501430|Y2|8.0000000000000000E+00|19.699|M51MB01430
1815|F0605013|F06|20260204|013344|S0071734533|Y3|3.2000000000000000E+01|17.050|M510017200
1815|G0211003|G02|20260204|023527|S7122412330|Y1|4.0000000000000000E+00|23.904|M51MB01430
1815|G0201502|G02|20260204|082553|S0071850487|YA1|4.0000000000000000E+00|17.006|M510092600
1815|F0311050|F03|20260204|020858|S7173542030|YA1|4.0000000000000000E+00|20.995|M510050030
1815|F0305023|F03|20260204|100255|S071585971E|M1|1.6000000000000000E+01|16.013|M510006100
1815|F0101502|F01|20260204|081443|S0071295503|M1|2.0000000000000000E+00|13.802|M510006100
1815|F0411037|F04|20260204|072032|000000007187619710|Y2|4.0000000000000000E+00|29.995|M510017200
1815|F0605011|F06|20260204|005539|000000000071720487|M1|8.0000000000000000E+00|13.306|M510006100
1815|G0404016|G04|20260204|002131|000000000071584217|Y1|8.0000000000000000E+00|16.992|M510014900
1815|G0422005|G04|20260204|100759|000000007182419030|M1|4.0000000000000000E+00|38.707|M510018830
1815|F0511026|F05|20260204|094045|000000000071732055|Y2|4.0000000000000000E+00|28.296|M510018800
1815|F0604052|F06|20260204|045849|000000000071586451|Y2|4.0000000000000000E+00|19.325|M510006100
1815|F0311033|F03|20260204|012518|000000007189399740|Y1|2.0000000000000000E+00|29.002|M510129100
1815|F0511019|F05|20260204|044953|000000000071721025|Y1|4.0000000000000000E+00|24.595|M510006100
1815|F0311034|F03|20260204|005143|S7172179830|YA1|4.0000000000000000E+00|29.995|M510050030
1815|G0105020|G01|20260204|110209|S7152550130|Y1|2.0000000000000000E+00|29.102|M510047930
1815|F0311048|F03|20260204|005506|S0071741047|Y1|2.0000000000000000E+00|18.799|M510129100
1815|F0101024|F01|20260204|013037|S0071222825|UB3|1.0000000000000000E+00|17.701|M510129100
1815|G0105010|G01|20260204|015504|S7183772540|UA1|2.0000000000000000E+00|16.200|M510006110
1815|G0404024|G04|20260204|043311|S7147880330|M1|4.0000000000000000E+00|22.997|M510047930
1815|F0411041|F04|20260204|022632|S0071741436|Y1|4.0000000000000000E+00|24.005|M510013100
1815|G0205003|G02|20260204|015557|S0071232815|UA2|8.0000000000000000E+00|22.291|M510097000
1815|G0404017|G04|20260204|035551|S7158708050E|U1|1.6000000000000000E+01|15.610|M510015150
