MATNR|PLWRK|GSMNG|PEDTR|MDV01|KDMAT|GUM|SHIFT
000000007297452230|1815|2250.000|20260126|E3C07003|7297452230|0.00000|2
000000000071222825|1815|14940.000|20260126|E1C11001|71222825|0.00000|2
000000007173453440|1815|256800.000|20260202|E1C11001|7173453440|0.00000|2
000000007287935830|1815|4400.000|20260126|E3C03001|7287935830|0.00000|2
000000007297008230|1815|300.000|20260126|E3C07003|7297008230|0.00000|2
000000007283324460|1815|71360.000|20260126|E3C01001|7283324460|0.00000|2
000000007289656830|1815|57000.000|20260126|E3C10013|7289656830|0.00000|2
000000007289873730|1815|29952.000|20260126|E3C01002|7289873730|0.00000|2
000000007147880330|1815|27600.000|20260126|E1C11001|7147880330|0.00000|2
000000007158617440|1815|60000.000|20260202|E1C11001|7158617440|0.00000|2
000000000071832415|1815|11130.000|20260126|E1C11001|71832415|0.00000|2
000000007183632130|1815|1760.000|20260202|E1C11001|7183632130|0.00000|2
000000007298710030|1815|3900.000|20260204|E3C09002|7298710030|0.00000|2
000000007287919430|1815|20520.000|20260126|E3C12007|7287919430|0.00000|2
000000000071832413|1815|1880.000|20260126|E1C11001|71832413|0.00000|2
000000007172179930|1815|13530.000|20260126|E1C11001|7172179930|0.00000|2
000000007283646640|1815|13060.000|20260202|E3C10001|7283646640|0.00000|2
000000007287888240|1815|1440.000|20260126|E3C02001|7287888240|0.00000|2
000000007289778240|1815|36036.000|20260126|E3C05001|7289778240|0.00000|2
000000007289915340|1815|44400.000|20260126|E3C12013|7289915340|0.00000|2
000000007298868630|1815|3300.000|20260202|E3C09002|7298868630|0.00000|2
000000000071233010|1815|4880.000|20260209|E1C11001|71233010|0.00000|2
000000000071850487|1815|25000.000|20260126|E1C11001|71850487|0.00000|2
000000007173553430|1815|12500.000|20260202|E1C11001|7173553430|0.00000|2
000000007298577640|1815|2700.000|20260206|E3C09002|7298577640|0.00000|2
000000007287199030|1815|79704.000|20260126|E3C10016|7287199030|0.00000|2
000000007282344040|1815|95200.000|20260126|E3C01002|7282344040|0.00000|2
000000007288875130|1815|25425.000|20260126|E3C01001|7288875130|0.00000|2
000000000071231620|1815|4000.000|20260126|E1C11001|71231620|0.00000|2
000000007123746440|1815|3600.000|20260209|E1C11001|7123746440|0.00000|2
000000007287574030|1815|24911.000|20260126|E3C03001|7287574030|0.00000|2
000000007289976230|1815|2430.000|20260126|E3C03001|7289976230|0.00000|2
000000007298077230|1815|5550.000|20260201|E3C09002|7298077230|0.00000|2
000000007298491530|1815|4104.000|20260126|E3C03001|7298491530|0.00000|2
000000000072894885|1815|40810.000|20260126|E2C15007|72894885|0.00000|2
000000007225960960|1815|4956.000|20260126|E3C07001|7225960960|0.00000|2
000000007282645940|1815|33000.000|20260126|E3C12006|89047070|0.00000|2
000000007283344140|1815|35420.000|20260126|E3C01001|7283344140|0.00000|2
000000007283457730|1815|17280.000|20260202|E2C14001|7283457730|0.00000|2
000000007286986010|1815|54000.000|20260126|E3C05001|7286986010|0.00000|2
000000007287935530|1815|17280.000|20260126|E2C13006|7287935530|0.00000|2
000000007297707130|1815|160.000|20260126|E3C07003|7297707130|0.00000|2
000000007298076730|1815|750.000|20260211|E3C09002|7298076730|0.00000|2
000000000071479095|1815|10000.000|20260202|E1C11001|71479095|0.00000|2
000000007123604330|1815|3540.000|20260126|E1C11001|7123604330|0.00000|2
000000007123754440|1815|1490.000|20260126|E1C11001|7123754440|0.00000|2
000000007174105140|1815|320.000|20260126|E1C11001|7174105140|0.00000|2
000000007174272130|1815|26850.000|20260126|E1C11001|7174272130|0.00000|2
000000007282644340|1815|26596.000|20260126|E3C10020|7282644340|0.00000|2
000000007282644940|1815|54200.000|20260126|E3C10025|7282644940|0.00000|2
000000007283321530|1815|21888.000|20260126|E3C10034|7283321530|0.00000|2
000000007283374160|1815|116662.000|20260126|E3C06001|7283374160|0.00000|2
000000007287204730|1815|66341.000|20260126|E3C10019|7287204730|0.00000|2
000000007287976240|1815|12000.000|20260126|E3C05001|7287976240|0.00000|2
000000007288729530|1815|23700.000|20260126|E2C13008|7288729530|0.00000|2
000000007289713930|1815|73440.000|20260126|E2C13006|7289713930|0.00000|2
000000007298491630|1815|10368.000|20260126|E3C05001|7298491630|0.00000|2
000000007286975130|1815|2550.000|20260126|E3C03001|7286975130|0.00000|2
000000000071734533|1815|179360.000|20260126|E1C11001|71734533|0.00000|2
000000000072773005|1815|33024.000|20260126|E3C02001|72773005|0.00000|2
000000007173453240|1815|423180.000|20260126|E1C11001|7173453240|0.00000|2
000000007278113430|1815|300.000|20260223|E3C09002|7278113430|0.00000|2
000000007282344140|1815|55000.000|20260126|E3C01002|7282344140|0.00000|2
000000007282646940|1815|18400.000|20260126|E3C01002|7282646940|0.00000|2
000000007298482670|1815|13920.000|20260130|E2C13009|7298482670|0.00000|2
000000007298006130|1815|4200.000|20260130|E3C09002|7298006130|0.00000|2
000000007289820130|1815|9000.000|20260130|E3C09002|7289820130|0.00000|2
000000007289949640|1815|750.000|20260130|E3C05001|7289949640|0.00000|2
000000007298007130|1815|6000.000|20260130|E3C09002|7298007130|0.00000|2
000000007298447030|1815|5250.000|20260130|E3C09002|7298447030|0.00000|2
000000007297483930|1815|6450.000|20260130|E2C13010|7297483930|0.00000|2
000000007173438430|1815|780.000|20260130|T2G03001|7173438430|0.00000|1
000000007298482630|1815|13920.000|20260129|E2C13009|7298482630|0.00000|2
000000007297483830|1815|15000.000|20260129|E2C13010|7297483830|0.00000|2
000000007289820130|1815|9000.000|20260129|E3C09002|7289820130|0.00000|2
000000007289949640|1815|5250.000|20260129|E3C05001|7289949640|0.00000|2
000000007298007130|1815|6000.000|20260129|E3C09002|7298007130|0.00000|2
000000007298447030|1815|5250.000|20260129|E3C09002|7298447030|0.00000|2
000000007173438430|1815|5070.000|20260129|T2G03001|7173438430|0.00000|1
000000007298482630|1815|13920.000|20260128|E2C13009|7298482630|0.00000|2
000000007297483830|1815|15000.000|20260128|E2C13010|7297483830|0.00000|2
000000007289820130|1815|9000.000|20260128|E3C09002|7289820130|0.00000|2
000000007289949640|1815|5250.000|20260128|E3C05001|7289949640|0.00000|2
000000007298007130|1815|6000.000|20260128|E3C09002|7298007130|0.00000|2
000000007298447030|1815|5250.000|20260128|E3C09002|7298447030|0.00000|2
000000007278115330|1815|1050.000|20260128|E3C09002|7278115330|0.00000|2
000000007278115430|1815|750.000|20260128|E3C09002|7278115430|0.00000|2
000000007173438430|1815|5460.000|20260128|T2G03001|7173438430|0.00000|1
000000007289820130|1815|9000.000|20260127|E3C09002|7289820130|0.00000|2
000000007289949640|1815|5250.000|20260127|E3C05001|7289949640|0.00000|2
000000007298007130|1815|6000.000|20260127|E3C09002|7298007130|0.00000|2
000000007298447030|1815|5250.000|20260127|E3C09002|7298447030|0.00000|2
000000007277078830|1815|150.000|20260126|E3C07003|7277078830|0.00000|2
000000007277116830|1815|150.000|20260126|E3C07003|7277116830|0.00000|2
000000007297009130|1815|2550.000|20260126|E3C07003|7297009130|0.00000|2
000000007297009230|1815|750.000|20260126|E3C07003|7297009230|0.00000|2
000000007297009430|1815|1650.000|20260126|E3C07003|7297009430|0.00000|2
000000007297478640|1815|150.000|20260126|E3C07003|7297478640|0.00000|2
000000007297478740|1815|600.000|20260126|E3C07003|7297478740|0.00000|2
000000007297514230|1815|1650.000|20260126|E3C07003|7297514230|0.00000|2
000000007297619330|1815|1050.000|20260126|E3C07003|7297619330|0.00000|2
000000007297746830|1815|150.000|20260126|E3C07003|7297746830|0.00000|2
000000007297746930|1815|1650.000|20260126|E3C07003|7297746930|0.00000|2
000000007297747030|1815|450.000|20260126|E3C07003|7297747030|0.00000|2
000000007297810930|1815|150.000|20260126|E3C07003|7297810930|0.00000|2
000000007297870730|1815|750.000|20260126|E3C07003|7297870730|0.00000|2
000000007297871430|1815|150.000|20260126|E3C07003|7297871430|0.00000|2
000000000072239327|1815|6000.000|20260126|E3C05001|72239327|0.00000|2
000000000072835846|1815|7200.000|20260126|E3C04001|72835846|0.00000|2
000000000072836160|1815|12000.000|20260126|E3C01002|72836160|0.00000|2
000000000072837166|1815|10800.000|20260126|E3C01001|72837166|0.00000|2
000000000072837167|1815|6000.000|20260126|E3C01002|72837167|0.00000|2
000000000072851961|1815|39.000|20260126|E3C02001|72851961|0.00000|2
000000000073851092|1815|101.000|20260126|E3C04001|73851092|0.00000|2
000000007222744440|1815|1500.000|20260126|E3C03001|7222744440|0.00000|2
000000007223614630|1815|7200.000|20260126|E3C01002|7223614630|0.00000|2
000000007223622440|1815|20000.000|20260126|E3C05001|24342 OP180|0.00000|2
000000007282120050|1815|800.000|20260126|E3C01002|7282120050|0.00000|2
000000007282120090|1815|2400.000|20260126|E3C01002|7282120090|0.00000|2
000000007282550840|1815|1600.000|20260126|E3C03001|7282550840|0.00000|2
000000007282645360|1815|3600.000|20260126|E3C01002|89047072|0.00000|2
000000007282645690|1815|3000.000|20260126|E3C01001|89047071|0.00000|2
000000007282656140|1815|20000.000|20260126|E3C01002|7282656140|0.00000|2
000000007282656940|1815|6600.000|20260126|E3C02001|13587883|0.00000|2
000000007283192730|1815|3000.000|20260126|E3C03001|7283192730|0.00000|2
000000007283243330|1815|3240.000|20260126|E3C02001|19178094|0.00000|2
000000007283324340|1815|40000.000|20260126|E3C04001|7283324340|0.00000|2
000000007283457640|1815|7200.000|20260126|E2C14001|7283457640|0.00000|2
000000007283716630|1815|10800.000|20260126|E3C01001|7283716630|0.00000|2
000000007283716640|1815|4800.000|20260126|E3C01001|7283716640|0.00000|2
000000007283769640|1815|4000.000|20260126|E3C04001|13505999|0.00000|2
000000007283792930|1815|4290.000|20260126|E3C02001|7283792930|0.00000|2
000000007283822030|1815|4290.000|20260126|E3C05001|7283822030|0.00000|2
000000007283902830|1815|40000.000|20260126|E3C10006|89047352|0.00000|2
000000007283902940|1815|20000.000|20260126|E3C10006|7283902940|0.00000|2
000000007287191630|1815|1920.000|20260126|E2C14001|7287191630|0.00000|2
000000007287888140|1815|3200.000|20260126|E3C02001|7287888140|0.00000|2
000000007287904360|1815|4032.000|20260126|E3C03001|7287904360|0.00000|2
000000007289262230|1815|1080.000|20260126|E3C12007|7289262230|0.00000|2
000000007289396130|1815|810.000|20260126|E3C05001|7289396130|0.00000|2
000000007289399130|1815|1920.000|20260126|E3C04001|7289399130|0.00000|2
000000007289399530|1815|4800.000|20260126|E3C05001|7289399530|0.00000|2
000000007289727830|1815|22680.000|20260126|E3C12007|7289727830|0.00000|2
000000007289792830|1815|21600.000|20260126|E3C05001|7289792830|0.00000|2
000000007289955030|1815|3240.000|20260126|E3C03001|7289955030|0.00000|2
000000007297270710|1815|8400.000|20260126|E2C13008|7297270710|0.00000|2
000000007297280630|1815|7200.000|20260126|E2C14001|7297280630|0.00000|2
000000007297307170|1815|2500.000|20260126|E3C02001|7297307170|0.00000|2
000000007297337440|1815|15000.000|20260126|E3C01001|7297337440|0.00000|2
000000007297411930|1815|900.000|20260126|E3C07001|91760TYA 0030H1|0.00000|2
000000007297434640|1815|10800.000|20260126|E3C02001|7297434640|0.00000|2
000000007297798330|1815|8400.000|20260126|E3C02001|7297798330|0.00000|2
000000007298251430|1815|3240.000|20260126|E3C12007|7298251430|0.00000|2
000000007298251630|1815|3240.000|20260126|E3C12007|7298251630|0.00000|2
000000007298251730|1815|2160.000|20260126|E3C12007|7298251730|0.00000|2
000000007298306070|1815|1920.000|20260126|E3C03001|7298306070|0.00000|2
000000007298336830|1815|10800.000|20260126|E3C12007|7298336830|0.00000|2
000000007298433040|1815|16200.000|20260126|E3C10011|7298433040|0.00000|2
000000007298459460|1815|12000.000|20260126|E3C07001|7298459460|0.00000|2
000000007298522040|1815|3240.000|20260126|E3C12007|7298522040|0.00000|2
000000007298522130|1815|22680.000|20260126|E3C12007|7298522130|0.00000|2
000000007298522230|1815|10800.000|20260126|E3C12007|7298522230|0.00000|2
000000007298850130|1815|3240.000|20260126|E3C12007|7298850130|0.00000|2
000000007298850530|1815|11880.000|20260126|E3C12007|7298850530|0.00000|2
000000007223188440|1815|600.000|20260126|E3C03001|7223188440|0.00000|2
000000007282945030|1815|150.000|20260126|E3C01002|7282945030|0.00000|2
000000007283643790|1815|150.000|20260126|E3C02001|7283643790|0.00000|2
000000007283743730|1815|120.000|20260126|E3C04001|7283743730|0.00000|2
000000007287539330|1815|1000.000|20260126|E3C05001|7287539330|0.00000|2
000000000071221640|1815|6000.000|20260126|E1C11001|71221640|0.00000|2
000000000071231508|1815|800.000|20260126|E1C11001|88952787|0.00000|2
000000000071232815|1815|5000.000|20260126|E1C11001|71232815|0.00000|2
000000000071235125|1815|22000.000|20260126|E1C11001|71235125|0.00000|2
000000000071237830|1815|5000.000|20260126|E1C11001|71237830|0.00000|2
000000000071479093|1815|12000.000|20260126|E1C11001|71479093|0.00000|2
000000000071543422|1815|1000.000|20260126|E1C11001|71543422|0.00000|2
000000000071578886|1815|5000.000|20260126|E1C11001|71578886|0.00000|2
000000000071741047|1815|7200.000|20260126|E1C11001|71741047|0.00000|2
000000000071832418|1815|3200.000|20260126|E1C11001|71832418|0.00000|2
