Plant|Control #|Part #|Product Version|Die
1815|B14F002|000000007182915240|0002|Y2
1815|A08I299|000000007183374040|0012|UB1
1815|B08I025|000000007183419030|0015|Y1
1815|B08I025|000000007183419030|0018|Y1
1815|B08I025|000000007183419030|0019|Y1
1815|B08I025|000000007183419030|0020|Y1
1815|B08J039|000000000071821248|0006|UB2
1815|B08J039|000000000071821248|0008|UB2
1815|B08J039|000000000071821248|0009|UB2
1815|B08J039|000000000071821248|0012|UB2
1815|B08J039|000000000071821248|0013|UB2
1815|B08J039|000000000071821248|0014|UB2
1815|B12G003|000000000071824578|0002|UB1
1815|B12G003|000000000071824578|0003|UB1
1815|B08J039|000000007182124870|0006|UB2
1815|B08J039|000000007182124870|0011|UB2
1815|B17L005|000000007182196640|0004|MA1
1815|B17L005|000000007182196640|0008|MA1
1815|A08I219|000000007182243230|0006|YK1
1815|B09I002|000000007182321430|0002|UB1
1815|B09I002|000000007182321430|0004|UB1
1815|A13K004|000000007182344040|0002|Y1
1815|A13K004|000000007182344040|0003|Y1
1815|A13K004|000000007182344040|0004|Y1
1815|A13K004|000000007182344040|0005|Y1
1815|A13K004|000000007182344040|0006|Y1
1815|A13K004|000000007182344040|0007|Y1
1815|A13K004|000000007182344040|0008|Y1
1815|A19A009|000000007182344140|0002|M1
1815|A19A009|000000007182344140|0003|M1
1815|A19A009|000000007182344140|0004|M1
1815|A19A009|000000007182344140|0005|M1
1815|A19A009|000000007182344140|0006|M1
1815|A08J179|000000007182374040|0002|Y1
1815|A08J179|000000007182374040|0003|Y1
1815|A08J179|000000007182374040|0009|Y1
1815|A08J179|000000007182374040|0010|Y1
1815|A08J179|000000007182374040|0011|Y1
1815|A08J182|000000007182388530|0004|Y1
1815|A08J182|000000007182388530|0006|Y1
1815|B12G003|000000007182457830|0002|UB1
1815|B12G003|000000007182457830|0003|UB1
1815|B12G003|000000007182457840|0002|UB1
1815|B12G003|000000007182457840|0003|UB1
1815|N4581|000000007289460230|0002|N4581-HTTSEAUT
