Part Number|Die No.|Sequence No.|Inventory Location|Stock Date|Cost/Fact|Cost Purchase|Box Unit
000000000071259246|Y1|ACN8V08326|LOST&FOUND|20230901|0.413401|10000.000|40.000
000000007183339230|Y1|COAE58501|LOST&FOUND|20241015|0.099713|10000.000|324.000
000000007183887240|Y1|COB448007|LOST&FOUND|20241106|0.043154|10000.000|300.000
000000007182124870|UB2|COBP680|LOST&FOUND|20241122|0.166479|10000.000|199.000
000000007187204580|Y1|COC352905|LOST&FOUND|20241204|0.0988|10000.000|396.000
000000007187204580|Y1|COCE60905|LOST&FOUND|20241217|0.0988|10000.000|396.000
000000007182887040|UA1|CP2K64702|LOST&FOUND|20250222|0.067739|10000.000|1000.000
000000000071833042|UB1|CP3C12501|LOST&FOUND|20250313|0.085702|10000.000|280.000
000000007158573050|YX1|CP5R395|LOST&FOUND|20250331|0.032517|10000.000|1000.000
000000000071587175|YB1|COBB65104|LOST&FOUND|20241112|0.151024|10000.000|348.000
000000007183887240|Y1|CP2N90103|LOST&FOUND|20250226|0.043154|10000.000|300.000
000000007173591530|TROQUEL 52P|DO2P01001|H01-01A37|20240225|0.180267|10000.000|390.000
000000007173644930|TROQUEL 52P|DOA902108|H01-01A39|20241010|0.180267|10000.000|390.000
000000007173644930|TROQUEL 52P|DOA902110|H01-01A39|20241010|0.180267|10000.000|390.000
000000007173644930|TROQUEL 52P|DOA800401|H01-01A42|20241008|0.180267|10000.000|390.000
000000007173610130|TROQUEL 52P|DO3B00508|H01-01A37|20240311|0.212915|10000.000|195.000
000000007173610130|TROQUEL 52P|DO4801001|H01-01A37|20240409|0.212915|10000.000|195.000
000000007173722830|TROQUEL 52P|DO7900702|H01-01A37|20240709|0.212915|10000.000|195.000
000000007173722530|TROQUEL 52P|DO7N00105|H01-01A37|20240723|0.212915|10000.000|195.000
000000007173423430|TROQUEL 52P|DO1P01017|H01-01A39|20240126|0.212915|10000.000|195.000
000000007173612630|TROQUEL 52P|DOAJ00204|H01-01A39|20241019|0.212915|10000.000|195.000
000000007173752830|TROQUEL 52P|DO8L00403|H01-01A40|20240822|0.212915|10000.000|195.000
000000007173752830|TROQUEL 52P|DOB600189|H01-01A40|20241113|0.212915|10000.000|195.000
000000007173423430|TROQUEL 52P|DO1P01001|H01-01A41|20240125|0.212915|10000.000|195.000
000000007173423430|TROQUEL 52P|DO1P01010|H01-01A41|20240125|0.212915|10000.000|195.000
000000007173423430|TROQUEL 52P|DO1P01030|H01-01A41|20240126|0.212915|10000.000|195.000
000000007298578540|AM532-HTTAUT|4L870012A|C0123|20241122|0.958511|10000.000|150.000
000000007298868530|AM532-HTTAUT|3L657659A|C0056|20230901|0.932229|10000.000|150.000
000000007298815630|AM532-HTTAUT|3L722269A|C0055|20230924|0.932229|10000.000|150.000
000000007183887240|Y1|CP2N90105|H01-01A04|20250226|0.043154|10000.000|300.000
000000007183887240|Y1|CP2N90106|H01-01A04|20250226|0.043154|10000.000|300.000
000000007183887240|Y1|CP2N90104|H01-01A42|20250226|0.043154|10000.000|300.000
000000007183887240|Y1|CP2N90102|G01-01A06|20250226|0.043154|10000.000|300.000
000000000071259247|Y1|ACO1J45332|G01-01A01|20240120|0.322825|10000.000|40.000
000000000071259246|Y1|CO1N44418|H01-01A02|20240124|0.413401|10000.000|40.000
000000000071259247|Y1|ACO1J45310|H01-01A03|20240119|0.322825|10000.000|40.000
000000000071259247|Y1|ACO1J45311|H01-01A03|20240119|0.322825|10000.000|40.000
000000000071259247|Y1|ACO1J45312|H01-01A04|20240119|0.322825|10000.000|40.000
000000000071259246|Y1|CO1N44416|H01-01A08|20240124|0.413401|10000.000|40.000
000000000071259246|Y1|ACO1LA5513|H01-01A42|20240123|0.413401|10000.000|40.000
000000000071259247|Y1|ACO1J45313|H01-01A42|20240119|0.322825|10000.000|40.000
000000000071259246|Y1|CO1N44406|H01-01A42|20240123|0.413401|10000.000|40.000
000000000071259246|Y1|CO1N44408|H01-01A42|20240123|0.413401|10000.000|40.000
000000000071259246|Y1|CO1N44413|H01-01A42|20240124|0.413401|10000.000|40.000
000000000071259246|Y1|CO1N44414|H01-01A42|20240124|0.413401|10000.000|40.000
000000000071259246|Y1|CO1UAAI07|H01-01A42|20240131|0.413401|10000.000|40.000
000000000071259246|Y1|CO1V81509|H01-01A42|20240131|0.413401|10000.000|40.000
000000007174028330||4L820600A|C0056|20241102|0.1121|10000.000|100.000
000000007174028330||4L822466A|C0057|20241102|0.1121|10000.000|100.000
000000000071259246|Y1|CO1N44404|G01-01A08|20240123|0.413401|10000.000|40.000
000000000071259246|Y1|CO1N44410|G01-01A10|20240124|0.413401|10000.000|40.000
000000007186035530|YK1|CP93325|E01-01B13|20250221|0.20406|10000.000|100.000
000000000071585773|UA1|CP93324|E31-01C01|20250225|0.032923|10000.000|600.000
000000000071585773|UA1|CP2O84101|E31-01C01|20250225|0.032923|10000.000|1200.000
000000000071835831|UB6|CP2467701|H01-01A29|20250206|0.037456|10000.000|1200.000
000000007182887040|UA1|CP2K64704|H01-01A42|20250222|0.067739|10000.000|1000.000
000000007158474870|EX1|CO1Q37901|H01-01A42|20240126|0.043276|10000.000|1000.000
000000000071586945|UA1|CP2E45706|H01-01A21|20250215|0.020521|10000.000|1000.000
000000000071586945|UA1|CP2E45707|H01-01A21|20250215|0.020521|10000.000|1000.000
000000000071586945|UA1|CP2E45709|H01-01A21|20250215|0.020521|10000.000|1000.000
000000000071586945|UA1|CP2E45710|H01-01A21|20250215|0.020521|10000.000|1000.000
000000000071861919|YA1|COBI32674|A01-04A01|20241121|0.150258|10000.000|200.000
000000000071861919|YA1|COBE59302|A03-03B01|20241116|0.150258|10000.000|200.000
000000000071861919|YA1|COBE59360|A03-03B01|20241117|0.150258|10000.000|200.000
000000000071861919|YA1|COBE59387|A01-04A01|20241119|0.150258|10000.000|200.000
000000000071861919|YA1|COBE59361|A01-06B01|20241117|0.150258|10000.000|200.000
000000000071861919|YA1|CP2616802|A01-06B01|20250206|0.150258|10000.000|200.000
000000000071861919|YA1|COBE59359|C01-01B04|20241117|0.150258|10000.000|200.000
000000000071861919|YA1|COBI32635|C01-01B04|20241121|0.150258|10000.000|200.000
000000007182594630|YA1|CP2D48509|E01-01B09|20250215|0.233601|10000.000|200.000
000000007289399860|N2731-HTTSEAUT|4L275916A|C0055|20240409|0.673401|10000.000|160.000
000000007172205860|YA1|CP1S14201|H01-01A42|20250130|0.023533|10000.000|2000.000
000000007172205860|YA1|CP1S45201|H01-01A10|20250130|0.023533|10000.000|2000.000
000000000071825831|UA4|CNB570505|H01-01A42|20231107|0.043922|10000.000|704.000
000000000071824534|EI1|CP3F02302|H01-01A97|20250316|0.084639|10000.000|704.000
000000007183915240|Y4|COC538508|H01-01A04|20241205|0.436758|10000.000|86.000
000000007183352340|UB1|CO2Q25301|H01-01A42|20240226|0.052563|10000.000|632.000
000000007183915240|Y4|COC538507|H01-01A11|20241205|0.436758|10000.000|86.000
000000007183915240|Y4|COC538528|H01-01A98|20241206|0.436758|10000.000|86.000
000000007183352340|UB1|CO2Q25302|G01-01A04|20240226|0.052563|10000.000|632.000
000000000071851965||41L18991J|D02-06A02|20250107|3.12871|1000.000|96.000
000000007137219580||41H40221J|D02-03B01|20240830|0.03321|1000.000|10000.000
000000007137219580||41H40222J|D02-03B01|20240830|0.03321|1000.000|10000.000
000000007137219580||41H40225J|D02-03B01|20240830|0.03321|1000.000|10000.000
000000007137219580||41H40226J|D02-03B01|20240830|0.03321|1000.000|10000.000
000000007137219580||41H40227J|D02-03B01|20240830|0.03321|1000.000|10000.000
000000007137219580||41H40231J|D02-03B01|20240830|0.03321|1000.000|10000.000
000000007137219580||41J25037J|D02-03B01|20241021|0.03321|1000.000|10000.000
000000007137219580||41I21195J|D02-04B01|20240920|0.03321|1000.000|10000.000
000000000071851965||41L07137J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07138J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07139J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07140J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07141J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07142J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07143J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07144J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07145J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07146J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07147J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07148J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L07149J|D02-02B01|20241209|3.12871|1000.000|96.000
000000000071851965||41L18990J|D02-02B01|20250107|3.12871|1000.000|96.000
000000000071851965||41L18994J|D02-02B01|20250107|3.12871|1000.000|96.000
000000000071851965||41L18995J|D02-02B01|20250107|3.12871|1000.000|96.000
000000000071851965||41L18996J|D02-02B01|20250107|3.12871|1000.000|96.000
000000000071851965||41L19003J|D02-02B01|20250107|3.12871|1000.000|96.000
000000000071587175|YB1|COBB65102|RETORNOS|20241112|0.151024|10000.000|348.000
000000000071586373|Y2|CO8C71205|E08-01A14|20240814|0.052353|10000.000|288.000
000000000071586373|Y2|CO8C71207|E08-01A14|20240814|0.052353|10000.000|288.000
000000000071586373|Y2|CO8C71209|E08-01A14|20240814|0.052353|10000.000|288.000
000000000071586373|Y2|CO8C71203|H01-01A02|20240814|0.052353|10000.000|288.000
000000007183556940|UB1|COA6A7209|H01-01A03|20241008|0.085005|10000.000|772.000
000000007187204580|Y1|COC352906|H01-01A04|20241204|0.0988|10000.000|396.000
000000007173720930|TROQUEL 52P|DOBR01201|H01-01A32|20241128|0.180267|10000.000|390.000
000000000071585732|UA1|CO9975105|H01-01A34|20240910|0.034271|10000.000|1100.000
000000007187204580|Y1|COCE60904|H01-01A36|20241217|0.0988|10000.000|396.000
000000007173644930|TROQUEL 52P|DP22013|H01-01A39|20241010|0.180267|10000.000|380.000
000000000071585732|UA1|CO9975103|H01-01A42|20240910|0.034271|10000.000|1100.000
000000000071585733|U1|COAR31501|H01-01A42|20241028|0.03934|10000.000|960.000
000000000071587175|YB1|CP49584|H01-01A42|20241112|0.151024|10000.000|347.000
000000007183558640|YB2|CO8T03301|H01-01A42|20240829|0.090699|10000.000|752.000
000000007183558640|YB2|CO8T03302|H01-01A42|20240829|0.090699|10000.000|752.000
000000007186228810|Y1|CO9A52202|H01-01A42|20240911|0.284517|10000.000|96.000
000000007186228810|Y1|CO9A52203|H01-01A42|20240911|0.284517|10000.000|96.000
000000007183556940|UB1|COA6A7203|H01-01A42|20241008|0.085005|10000.000|772.000
000000007183556940|UB1|COA6A7204|H01-01A42|20241008|0.085005|10000.000|772.000
000000007183556940|UB1|COA6A7207|H01-01A42|20241008|0.085005|10000.000|772.000
000000007183556940|UB1|COA6A7210|H01-01A42|20241008|0.085005|10000.000|772.000
000000000071730732|Y1|CO8K05202|H01-01A42|20240821|0.066351|10000.000|330.000
000000007158907530|YA3|CP1I11701|H01-01A42|20250119|0.094318|10000.000|288.000
000000007172210150|YA1|CP3322601|H01-01A42|20250304|0.023238|10000.000|1920.000
000000007172210150|YA1|CP3322602|H01-01A42|20250304|0.023238|10000.000|1920.000
000000007172210150|YA1|CP3322604|H01-01A42|20250304|0.023238|10000.000|1920.000
000000007172210150|YA1|CP3322605|H01-01A42|20250304|0.023238|10000.000|1920.000
000000007172210150|YA1|CP3322606|H01-01A42|20250304|0.023238|10000.000|1920.000
000000007172071830|Y1|CP3P08903|H01-01A42|20250325|0.032327|10000.000|1720.000
000000007283915130|N4561-HTTSEAUT|4L263381A|C0056|20240405|0.929872|10000.000|96.000
000000007172178630|M1|CO4N31401|H01-01A22|20240423|0.028598|10000.000|1716.000
000000007183556940|UB1|COA6A7205|H01-01A26|20241008|0.085005|10000.000|772.000
000000007183556940|UB1|COA6A7208|H01-01A26|20241008|0.085005|10000.000|772.000
000000007183653730|UB1|COC355002|H01-01A26|20241204|0.086226|10000.000|256.000
000000007198954830|YA1|CP2C47402|H01-01A26|20250213|0.096829|10000.000|460.000
000000000071587175|YB1|COC6932|H01-01A94|20241112|0.151024|10000.000|340.000
000000007197280530|YA2|CO8U74303|A01-05C02|20240901|0.030758|10000.000|265.000
000000007188368230|Y1|COA888534|C01-01C07|20241012|0.202107|10000.000|270.000
000000007172210150|YA1|CP2Q08901|G01-01A03|20250226|0.023238|10000.000|1920.000
000000000071586373|Y2|CO8C71208|G01-01A04|20240814|0.052353|10000.000|288.000
000000000071585732|UA1|CO9975111|G01-01A06|20240910|0.034271|10000.000|1100.000
000000000071585732|UA1|CO9975112|G01-01A08|20240910|0.034271|10000.000|1100.000
000000007183556940|UB1|COA6A7202|G01-01A10|20241008|0.085005|10000.000|772.000
000000007183556940|UB1|COA6A7211|G01-01A10|20241008|0.085005|10000.000|772.000
000000000071851965||51A20946J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20947J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20948J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20945J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20944J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20943J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20949J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20950J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||41L18939J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18938J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18937J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18936J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18981J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||51A20942J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20941J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51A20940J|TRAILER01|20250120|3.12871|1000.000|96.000
000000000071851965||51B32776J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32777J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||51B32778J|TRAILER01|20250227|3.12871|1000.000|96.000
000000000071851965||41L18957J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18956J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18955J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18954J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18953J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18952J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18951J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18950J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18924J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18969J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18970J|TRAILER01|20241218|3.12871|1000.000|96.000
000000000071851965||41L18971J|TRAILER01|20241218|3.12871|1000.000|96.000
